Yil,Enflasyon,M2,GSYIH,Petrol_Fiyati
1960,12.29,9.44,52.48,21.22
1961,3.24,7.18,51.31,0.01
1962,10.89,7.44,57.32,17.09
1963,15.87,14.01,63.86,31.12
1964,9.14,16.22,57.32,6.88
1965,5.35,12.55,59.66,11.47
1966,5.13,16.41,71.16,18.0
1967,8.06,15.16,69.63,14.37
1968,10.72,12.84,66.08,7.19
1969,12.75,16.6,73.88,21.35
1970,7.06,20.9,71.7,13.5
1971,14.12,17.0,74.64,26.99
1972,14.5,22.65,81.26,17.04
1973,10.02,11.0,73.69,38.0
1974,14.53,22.27,77.96,20.53
1975,14.08,21.05,87.24,25.42
1976,11.69,20.93,88.58,35.71
1977,14.09,23.2,98.97,20.55
1978,16.0,18.1,96.75,33.42
1979,23.36,24.61,98.28,43.26
1980,17.57,27.6,116.88,21.14
1981,14.17,32.29,112.81,36.68
1982,13.83,27.7,118.83,38.48
1983,21.47,28.29,116.11,43.85
1984,18.08,30.75,125.44,28.9
1985,20.19,36.61,133.85,29.44
1986,37.57,36.54,132.87,45.38
1987,22.88,35.75,146.05,44.78
1988,27.52,40.74,146.93,45.6
1989,27.0,41.45,154.47,47.57
1990,25.77,46.13,159.16,40.56
1991,21.24,43.27,177.92,49.06
1992,27.7,46.67,175.34,50.74
1993,20.69,48.86,177.13,43.89
1994,26.64,48.14,193.83,65.73
1995,26.93,56.05,191.2,55.79
1996,26.16,58.7,206.24,43.67
1997,40.26,60.83,203.61,59.65
1998,20.68,63.15,215.3,47.8
1999,33.24,62.8,231.8,63.1
2000,26.98,69.14,243.74,67.27
2001,29.03,72.89,250.51,52.63
2002,39.5,75.21,259.06,68.11
2003,36.46,81.01,268.52,64.9
2004,35.21,86.78,273.43,69.38
2005,41.83,95.51,288.46,79.17
2006,42.1,94.87,301.44,63.24
2007,36.4,99.83,321.18,60.37
2008,41.27,103.79,330.24,60.48
2009,40.68,103.46,332.85,62.27
2010,42.75,114.59,356.95,69.38
2011,56.91,120.59,367.62,73.93
2012,55.93,133.82,380.94,74.61
2013,44.21,132.17,402.76,80.22
2014,53.94,140.29,420.85,74.9
2015,55.12,146.25,436.97,87.63
2016,59.12,150.17,445.41,75.08
2017,63.74,164.79,466.05,100.16
2018,63.91,171.68,487.96,84.61
2019,65.78,180.27,510.63,73.94
2020,67.76,184.06,523.59,73.43
